id	name	description	url	githubUrl	screenshotUrl	relatedPapers	category	featured	curationStatus	createdAt	updatedAt
325	Talent Knowledge Map	Interactive knowledge graph for exploring interdisciplinary research teams, expertise, and collaboration networks across NIH Bridge2AI and CFDE communities.	http://cm4aikg.vercel.app/			[{"doi": "10.1145/3543873.3587579", "title": "Cross-Team Collaboration and Diversity in the Bridge2AI Project"}]	Knowledge Networks	0	VERIFIED	2026-03-30T12:25:47.637+00:00	2026-06-30 00:00:00
326	SpatialRSP	Identifies embedding space patterns and spatially resolved biomarkers from single-cell gene expression data using representation learning.					Single-cell Analysis	0	VERIFIED	2026-03-30T12:25:47.637+00:00	2026-06-30 00:00:00
327	Mondrian Map	Applies Piet Mondrian-inspired visual abstraction with language model embeddings to reveal differential pathway activity across conditions.		https://github.com/aimed-lab/mondrian-map		[{"doi": "10.1101/2024.04.11.589093", "title": "Mondrian Abstraction and Language Model Embeddings for Differential Pathway Analysis"}]	Pathway Analysis	0	VERIFIED	2026-03-30T12:25:47.640+00:00	2026-06-30 00:00:00
328	WINNER	Prioritizes disease-associated biomolecules by weighted in-network node expansion and ranking on protein interaction and functional genomics networks.		https://github.com/aimed-lab/WINNER		[{"doi": "10.3389/fdata.2022.1016606", "title": "WINNER: A network biology tool for biomolecular characterization and prioritization"}]	Network Analysis	0	VERIFIED	2026-03-30T12:25:47.641+00:00	2026-06-30 00:00:00
329	SEAS	Annotates and enriches sample-level metadata neighborhoods to discover phenotype-associated clinical and molecular patterns from cohort data.		https://github.com/aimed-lab/SEAS		[{"doi": "10.3389/fdata.2021.725276", "title": "Statistical Enrichment Analysis of Samples (SEAS)"}]	Statistical Analysis	0	VERIFIED	2026-03-30T12:25:47.641+00:00	2026-06-30 00:00:00
330	PGC	Discovers spatially informative biomarker genes from single-cell RNA-seq embedding data using polar Gini curve quantification.		https://github.com/aimed-lab/Polar-Gini-Curve		[{"doi": "10.1016/j.gpb.2020.09.006", "title": "Polar Gini Curve: a Quantitative Technique to Discover Gene Expression Spatial Patterns"}]	Single-cell Analysis	0	VERIFIED	2026-03-30T12:25:47.641+00:00	2026-06-30 00:00:00
331	PAGER-CoV	Comprehensive collection of pathways, annotated gene lists, and gene signatures curated for coronavirus disease biology and COVID-19 research.				[{"doi":"10.1093/nar/gkaa1094","title":"PAGER-CoV: A Comprehensive Collection for Coronavirus Disease Studies"}]	Disease Databases	0	VERIFIED	2026-03-30T12:25:47.642+00:00	2026-06-30 00:00:00
332	BEERE	Web server for expanding, ranking, and exploring sets of biomedical entities using network propagation across curated knowledge graphs.				[{"doi":"10.1093/nar/gkz428","title":"BEERE: a Web Server for Biomedical Entity Expansion, Ranking, and Explorations"}]	Knowledge Networks	0	VERIFIED	2026-03-30T12:25:47.642+00:00	2026-06-30 00:00:00
333	WIPER	Ranks biomolecular associations in weighted in-path edge networks to identify functional connections between genes, pathways, and diseases.		https://github.com/aimed-lab/WIPER		[{"doi": "10.1007/s40484-019-0180-y", "title": "WIPER: Weighted in-Path Edge Ranking for biomolecular association networks", "pubmedId": "38525413"}]	Network Analysis	0	VERIFIED	2026-03-30T12:25:47.643+00:00	2026-06-30 00:00:00
334	HAPPI	Curated database of over 2 million human annotated and predicted protein-protein interactions with quality-scored confidence levels.				[{"doi":"10.1186/s12864-017-3512-1","title":"HAPPI-2: a Comprehensive Map of Human Annotated and Predicted Protein Interactions"}]	Protein Interactions	0	VERIFIED	2026-03-30T12:25:47.643+00:00	2026-06-30 00:00:00
